c,MSHA ID,Country / Area,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),Complex Name,GEM Wiki Page (ENG),GEM Wiki Page (Non-ENG),Status,Status Detail,Project Type,Project Phase,Owners,Owner GEM Entity ID,Owners (Non-ENG),Parent Company,Company HQs,Capacity (Mtpa),Production (Mtpa),Year of Production,"Coal Output (Annual, Mst)",Mine Type,Mining Method,Mine Size (Km2),Mine Depth (m),Depth Accuracy,Workforce Size,Workforce Accuracy,Coal Type,Coal Grade,Percentage of Met Coal,Percentage of Thermal Coal,Accuracy Rating,Reported Year of Percentage Split,"Total Reserves (Proven and Probable, Mt)",Year of Total Reserves Recorded,"Total Resource (Inferred, Indicated, Measured)",Reserve to Production Ratio (R/P),Opening Year,Closing Year,Reported Life of Mine,Reported Year of Mine Life,Coalfield,Location,"Prefecture, District","State, Province",Subregion,Region,Latitude,Longitude,Location Accuracy,"Primary Consumer, Destination","Coal Plant, Steel Plant, Terminal","Coal Plant, Steel Plant, Terminal GEM Wiki",Gas-level Rating,Gas-level Rating Appraisal Year,Reported Coal Mine Methane Emissions (thousand tonnes per year),Year of Reported Coal Mine Methane Emissions,Source ID,Has associated plume data,Has associated CMM mitigation data,GEM Coal Mine Methane Emissions Estimate (MCM/yr),GEM Coal Mine Methane Emissions Estimate (M tonnes/yr),Methane Gas Content (m^3/tonne) (Updated),Methane Emissions Factor (Updated),CMM Emissions (CO2e 20 years),CMM Emissions (CO2e 100 years),ISO Code
M0541,,India,Jawaharkhani 5 Coal Mine,Jawahar Khani-5 Open Cast,,,https://www.gem.wiki/Jawahar_Khani-5_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,1.9,1.37,2023,,Surface,Open Pit,4.9,120,Exact,487,Estimate,Subbituminous,Thermal,,,,,0,2023,26,0,2012,,-,,Bhadradri Kothagudem,,,Telangana,Southern Asia,Asia,17.5783,80.3225,Exact,,,,,,,,,,,3.5,0.00,1.7,1.5,0.2,0.1,356
M0542,,India,Jayant Coal Mine,,,,https://www.gem.wiki/Jayant_coal_mine,,Operating,,,,Northern Coalfields Ltd [100%],E100001000802 [100%],,Coal India,India,9,22.03,2024,,Surface,Open Pit,31.77,50,Estimate,1735,Estimate,Subbituminous,Thermal,,,,,199,,-,9,1975,,-,,Singrauli,,Singrauli,Madhya Pradesh,Southern Asia,Asia,24.1583,82.6546,Exact,,,,,,,,,,,26.4,0.02,0.8,1.5,1.5,0.5,356
M0543,,India,Jhanjra Coal Mine,"Jhanjhra, Cluster 12",,,https://www.gem.wiki/Jhanjra_coal_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India,India,4,2.68,2023,,Underground,Longwall,15.2,300,Estimate,1335,Estimate,Subbituminous,Thermal,,,,,28,,-,10,2016,,-,,Paschim Bardhaman,,,West Bengal,Southern Asia,Asia,23.665321,87.313146,Exact,,,,,,,,,,,14.2,0.01,3.3,1.6,0.8,0.3,356
M0545,,India,Jhingurda Coal Mine,Jhingurdah Coal Mine,,,https://www.gem.wiki/Jhingurda_coal_mine,,Operating,,,,Northern Coalfields Ltd [100%],E100001000802 [100%],,Coal India,India,2.4,3.34,2023,,Surface,Open Pit,12,50,Estimate,515,Estimate,Subbituminous,Thermal,,,,,8,2018,9,2,1966,,-,,Singrauli,,Singrauli,Madhya Pradesh,Southern Asia,Asia,24.212132,82.698427,Exact,,,,,,,,,,,4,0.00,0.8,1.5,0.2,0.1,356
M0551,,India,Kalyani Khani Coal Mine,KK OCP,,,https://www.gem.wiki/Kalyani_Khani_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,1.4,1.77,2023,,Surface,Open Pit,9.45,230,Exact,911,Estimate,Subbituminous,Thermal,,,,,21,2023,45,12,2017,,12,,Mancherial,,,Telangana,Southern Asia,Asia,19.01,79.4651,Exact,,,,,,,,,,,7.4,0.01,2.8,1.5,0.4,0.1,356
M0552,,India,Gopalji Kaniha Coal Mine,Kaniha OCP,,,https://www.gem.wiki/Kaniha_coal_mine,https://www.gem.wiki/Talcher_coal_mines,Operating,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India,India,7.2,11.66,2023,,Surface,Open Pit,7.18,50,Estimate,1065,Estimate,Subbituminous,Thermal,,,,,71,2022,755,6,2010,,-,,Talcher,,Angul,Odisha,Southern Asia,Asia,21.095844,85.079292,Exact,Coal Plant,Talcher Kaniha power station,https://www.gem.wiki/Talcher_Kaniha_power_station,,,,,,,,14,0.01,0.8,1.5,0.8,0.3,356
M0553,,India,Kapurdi Coal Mine,,,,https://www.gem.wiki/Kapurdi_mine#Mine_Details,,Operating,,,,Barmer Lignite Mining Company Ltd [100%],E100001013129 [100%],,JSW Energy [49%]; Rajasthan State Minerals and Mining [51%],India,4.9,4.64,2022,,Surface,Open Pit,-,50,Estimate,728,Estimate,Lignite,Thermal,,,,,129,,-,28,2011,,-,,Barmer,,,Rajasthan,Southern Asia,Asia,25.9423,71.344253,Exact,,,,,,,,,,,5.6,0.00,0.8,1.5,0.3,0.1,356
M0555,,India,Karo Coal Mine,"KARO – I OCP
",,,https://www.gem.wiki/Bokaro_and_Kargali_coal_mines,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India,India,2.7,1.31,2023,,Surface,Open Pit,5.4,60,Estimate,571,Estimate,Bituminous,Thermal,,,,,82,2022,-,63,2014,,-,,East Bokaro,,Bokaro,Jharkhand,Southern Asia,Asia,23.791654,85.973236,Exact,,,,,,,,,,,6.9,0.01,3.5,1.5,0.4,0.1,356
M0556,,India,Khadia Coal Mine,,,,https://www.gem.wiki/Khadia_coal_mine,,Operating,,,Stage 1,Northern Coalfields Ltd [100%],E100001000802 [100%],,Coal India,India,7.8,15,2023,,Surface,Open Pit,16.4,40,Exact,2050,Exact,Subbituminous,Thermal,,,,,153,,336,10,1984,,23,,Singrauli,Dudhi / Singrauli,Sonbhadra / Singrauli,Uttar Pradesh,Southern Asia,Asia,24.1318,82.7144,Exact,Coal Plant,Anpara thermal power station,https://www.gem.wiki/Anpara_thermal_power_station,,,,,,,,13.5,0.01,0.6,1.5,0.7,0.3,356
M0557,,India,Khairagura Coal Mine,,,,https://www.gem.wiki/Khairagura_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,3,3.75,2023,,Surface,Open Pit,12.1,185,Exact,785,Estimate,Subbituminous,Thermal,,,,,24,2023,74,6,2005,,-,,Godavari,Khairagura,Adilabad,Telangana,Southern Asia,Asia,19.2555556,79.26666667,Exact,,,,,,,,,,,13.3,0.01,2.4,1.5,0.7,0.3,356
M0559,,India,Kuya Coal Mine,Cluster 8,,,https://www.gem.wiki/Cluster_No._8_(BCCL),,Operating,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India,India,*,2.84,2023,,Underground & Surface,,3.4,60,Estimate,696,Estimate,Subbituminous,Thermal,,,,,72,,-,25,,,-,,Dhanbad,,,Jharkhand,Southern Asia,Asia,23.7363,86.4498,Exact,,,,,,,,,,,3.4,0.00,0.8,1.5,0.2,0.1,356
M0560,,India,Konar Coal Mine,Bokaro & Kargali Area,,,https://www.gem.wiki/Bokaro_and_Kargali_coal_mines,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India,India,5,5.35,2023,,Surface,Open Pit,4.71,60,Estimate,930,Estimate,Bituminous,Thermal & Met,50%,50%,Estimated,,82,2022,-,15,2017,,-,,East Bokaro,,Bokaro,Jharkhand,Southern Asia,Asia,24.155314,86.303182,Exact,,,,,,,,,,,28.1,0.02,3.5,1.5,1.6,0.6,356
M0562,,India,Krishnashila Coal Mine,,,,https://www.gem.wiki/Krishnashila_coal_mine,,Operating,,,Stage 1,Northern Coalfields Ltd [100%],E100001000802 [100%],,Coal India,India,5,7.5,2023,,Surface,Open Pit,8.51,50,Estimate,634,Exact,Lignite,Thermal,,,,,29,2022,-,4,2007,,-,,Singrauli,,Sonbhadra,Uttar Pradesh,Southern Asia,Asia,24.12435195,82.74250031,Exact,,,,,,,,,,,9,0.01,0.8,1.5,0.5,0.2,356
M0563,,India,Kulda Coal Mine,,Stage 1,,https://www.gem.wiki/Kulda_coal_mine,,Operating,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India,India,9,21.05,2023,,Surface,Open Pit,6,50,Estimate,816,Exact,Lignite,Thermal,,,,,52,2022,439,2,2007,,3,2022,Ib Valley,,Sundergarh,Odisha,Southern Asia,Asia,22.033526,83.734846,Exact,,,,,,,,,,,25.3,0.02,0.8,1.5,1.4,0.5,356
M0564,,India,Kusmunda Coal Mine,,,,https://www.gem.wiki/Kusmunda_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,10,50.12,2023,,Surface,Open Pit,18.54,50,Estimate,2017,Exact,Lignite,Thermal,,,,,713,,1105,14,1978,,15,,Korba,,Korba,Chhattisgarh,Southern Asia,Asia,22.332635,82.666666,Exact,,,,,,,,,,,60.1,0.04,0.8,1.5,3.3,1.2,356
M0565,,India,Lajkura Coal Mine,Ib Valley Coalfield,,,https://www.gem.wiki/Lajkura_coal_mine,,Operating,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India,India,3,4.36,2023,,Surface,Open Pit,7.21,50,Estimate,476,Estimate,Subbituminous,Thermal,,,,,32,2022,-,7,1984,,7,2022,Ib Valley,,Sundergarh,Odisha,Southern Asia,Asia,21.814345,83.901262,Exact,,,,,,,,,,,5.2,0.00,0.8,1.5,0.3,0.1,356
M0566,,India,Lakhanpur Coal Mine,,,,https://www.gem.wiki/Lakhanpur_coal_mine,,Operating,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India,India,9,21.09,2023,,Surface,Open Pit,22.4,50,Estimate,1020,Estimate,Lignite,Thermal,,,,,118,2023,248,6,1992,,6,,Ib Valley,,Sundergarh,Odisha,Southern Asia,Asia,21.7451,83.8401,Exact,,,,,,,,,,,25.3,0.02,0.8,1.5,1.4,0.5,356
M0567,,India,Lingaraj Coal Mine,Lingaraj OCP,,,https://www.gem.wiki/Lingaraj_coal_mine,,Operating,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India,India,8,17.43,2023,,Surface,Open Pit,14.1,272,Exact,1793,Exact,Lignite,Thermal,,,,,169,2022,-,10,1991,,16,2022,Talcher,,Angul,Odisha,Southern Asia,Asia,20.960432,85.200747,Exact,,,,,,,,,,,81.5,0.06,3.1,1.5,4.5,1.6,356
M0569,,India,Magadh Coal Mine,Magadh Amrapali Area,,,https://www.gem.wiki/Magadh_Amrapali_coal_mines,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India,India,8,20.02,2023,,Surface,Open Pit,17.69,110,Exact,1723,Estimate,Lignite,Thermal,,,,,318,2022,-,16,2015,,26,,North Karanpura,,Chatra,Jharkhand,Southern Asia,Asia,23.889479,85.00171,Exact,,,,,,,,,,,48,0.03,1.6,1.5,2.7,1,356
M0571,,India,Dinesh (Makardhokra-III) Coal Mine,,,,https://www.gem.wiki/Dinesh_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India,India,3,4.42,2023,,Surface,Open Pit,9.2,50,Estimate,576,Estimate,Subbituminous,Thermal,,,,,87,2018,-,20,,,-,,Nagpur,,,Maharashtra,Southern Asia,Asia,20.8764,79.2235,Exact,,,,,,,,,,,5.3,0.00,0.8,1.5,0.3,0.1,356
M0573,,India,Mangrol Valia Coal Mine,,,,https://www.gem.wiki/Mangrol_Valia_coal_mine,,Operating,,,,Gujarat Industries Power Company [100%],E100001000668 [100%],,Government of Gujarat,India,3,2.53,2022,,Surface,Open Pit,20.6,50,Estimate,933,Estimate,Lignite,Thermal,,,,,170,,-,67,2009,,-,,Surat,,,Gujarat,Southern Asia,Asia,21.4167,73.1,Exact,,,,,,,,,,,3,0.00,0.8,1.5,0.2,0.1,356
M0574,,India,Manikpur Coal Mine,,,,https://www.gem.wiki/Manikpur_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India,India,4,5.35,2023,,Surface,Open Pit,10.19,50,Estimate,843,Estimate,Subbituminous,Thermal,,,,,57,2022,-,11,1966,,-,,Korba,,Korba,Chhattisgarh,Southern Asia,Asia,22.32047888,82.71690602,Exact,,,,,,,,,,,6.4,0.00,0.8,1.5,0.4,0.1,356
M0579,,India,Mohanpur Coal Mine,Mohanpur Expansion OCP Phase II,,,https://www.gem.wiki/Mohanpur_coal_mine,,Operating,,Expansion,Stage 2,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India,India,1.2,*,,,Surface,Open Pit,4.16,50,Estimate,401,Estimate,Subbituminous,Thermal,,,,,-,,-,-,2024,,-,,Raniganj,,Paschim Bardhaman,West Bengal,Southern Asia,Asia,23.786678,86.950299,Exact,,,,,,,,,,,1.4,0.00,0.8,1.5,0.1,0,356
M0579,,India,Mohanpur Coal Mine,,,,https://www.gem.wiki/Mohanpur_coal_mine,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India,India,0.9,2,2023,,Surface,Open Pit,1.65,50,Estimate,401,Estimate,Subbituminous,Thermal,,,,,11,,-,6,1990,,-,,Raniganj,Asansol,Paschim Bardhaman,West Bengal,Southern Asia,Asia,23.786678,86.950299,Exact,,,,,,,,,,,2.4,0.00,0.8,1.5,0.1,0,356
M0580,,India,Moher Amlohri Coal Mine,,,,https://www.gem.wiki/Moher-Amlori_Extension_coal_mine,,Operating,,,,Sasan Power Ltd [100%],E100001010401 [100%],,Reliance Power,India,8,18.28,2023,,Surface,,20.37,50,Estimate,1826,Estimate,Subbituminous,Thermal,,,,,470,2015,575,26,2016,,29,2015,Singrauli,,Singrauli,Madhya Pradesh,Southern Asia,Asia,24.135,82.599444,Exact,Coal Plant,Sasan Ultra Mega Power Project,https://www.gem.wiki/Sasan_Ultra_Mega_Power_Project,,,,,,,,21.9,0.02,0.8,1.5,1.2,0.4,356
M0581,,India,Mungoli Nirguda Coal Mine,Mugoli Nirguda Extension Deep OC,,,https://www.gem.wiki/Mugoli_Nirguda_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India,India,3,5.23,2023,,Surface,Open Pit,12.67,50,Estimate,839,Exact,Lignite,Thermal,,,,,46,2017,59,9,1994,,14,2017,Wardha Valley,Wani,Yavatmal,Maharashtra,Southern Asia,Asia,19.894046,79.115559,Exact,,,,,,,,,,,6.3,0.00,0.8,1.5,0.3,0.1,356
M0583,,India,N.T.S.T. Jeenagora Coal Mine,Amalgamated NTST Jeenagora Colliery,,,https://www.gem.wiki/North_Tisra_South_Tisra_(NTST)_coal_mines,,Operating,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India,India,*,4.79,2023,,Surface,Open Pit,-,50,Estimate,802,Estimate,Subbituminous,Thermal,,,,,118,,133,25,,,-,,Dhanbad,,,Jharkhand,Southern Asia,Asia,23.7028,86.4403,Approximate,,,,,,,,,,,5.7,0.00,0.8,1.5,0.3,0.1,356
M0585,,India,New Majri Coal Mine,New Majri Underground to Opencast Coal Mine,,,https://www.gem.wiki/New_Majri_UG_to_OC_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India,India,2,1.52,2023,,Surface,Open Pit,4.79,50,Estimate,402,Estimate,Subbituminous,Thermal,,,,,12,2017,38,8,2011,,-,,Wardha Valley,Bhadravati,Chandrapur,Maharashtra,Southern Asia,Asia,20.13479,79.021365,Exact,,,,,,,,,,,1.8,0.00,0.8,1.5,0.1,0,356
M0587,,India,Neyveli I A Coal Mine,Mine I A,,,https://www.gem.wiki/Neyveli_I_coal_mine,,Operating,,,,NLC India Ltd [100%],E100001000440 [100%],,NLC India Limited,India,4.9,5.59,2023,,Surface,Open Pit,-,50,Estimate,1170,Estimate,Lignite,Thermal,,,,,150,,365,27,,,-,,Cuddalore,,,Tamil Nadu,Southern Asia,Asia,11.57352,79.51781,Exact,,,,,,,,,,,6.7,0.00,0.8,1.5,0.4,0.1,356
M0588,,India,Neyveli I Coal Mine,Mine I,,,https://www.gem.wiki/Neyveli_I_coal_mine,,Operating,,,,NLC India Ltd [100%],E100001000440 [100%],,NLC India Limited,India,5,7,2023,,Surface,Open Pit,24.69,90,Exact,1301,Estimate,Lignite,Thermal,,,,,150,,365,21,1961,,-,,Neyveli (East and South areas),Neyveli,Cuddalore,Tamil Nadu,Southern Asia,Asia,11.571182,79.503738,Exact,Coal Plant,Neyveli Thermal Power Station,https://www.gem.wiki/Neyveli_Thermal_Power_Station,,,,,,,,13.7,0.01,1.3,1.5,0.8,0.3,356
M0589,,India,Neyveli II Coal Mine,Mine II,,,https://www.gem.wiki/Neyveli_II_coal_mine,,Operating,,,,NLC India Ltd [100%],E100001000440 [100%],,NLC India Limited,India,7,8.97,2023,,Surface,,27,90,Exact,1856,Estimate,Lignite,Thermal,,,,,398,,613,44,1984,,-,,Neyveli (East and South areas),Neyveli,Cuddalore,Tamil Nadu,Southern Asia,Asia,11.520268,79.475537,Exact,Coal Plant,Neyveli Thermal Power Station,https://www.gem.wiki/Neyveli_Thermal_Power_Station,,,,,,,,17.5,0.01,1.3,1.5,1,0.3,356
M0591,,India,Nigahi Coal Mine,,,,https://www.gem.wiki/Nigahi_Coal_Mine,,Operating,,,,Northern Coalfields Ltd [100%],E100001000802 [100%],,Coal India,India,9,25,2024,,Surface,Open Pit,30.18,250,Exact,2238,Exact,Subbituminous,Thermal,,,,,163,,-,7,1985,,22,,Singrauli,Nigahi,Singrauli,Madhya Pradesh,Southern Asia,Asia,24.135,82.599444,Exact,Coal Plant,Vindhyachal power station,https://www.gem.wiki/Vindhyachal_power_station,,,,,,,,108.8,0.07,2.9,1.5,6,2.2,356
M0593,,India,Niljai Coal Mine,,,,https://www.gem.wiki/Niljai_Coal_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India,India,3,4.47,2023,,Surface,Open Pit,17.61,50,Estimate,408,Estimate,Subbituminous,Thermal,,,,,41,,50,9,1991,,-,,Yavatmal,Wani Tehsil,Yavatmal,Maharashtra,Southern Asia,Asia,19.9957,79.0825,Exact,,,,,,,,,,,5.4,0.00,0.8,1.5,0.3,0.1,356
M0594,,India,"North Tisra, South Tisra Coal Mine","NTSTJG, Cluster 9",,,https://www.gem.wiki/North_Tisra_South_Tisra_(NTST)_coal_mines,,Operating,,Expansion,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India,India,5.1,1.87,Oct '23 to Mar '24,,Surface,Open Pit,8,244,Exact,1708,Exact,Lignite,Thermal,,,,,121,2022,133,65,2020,,-,,Jharia,,,Jharkhand,Southern Asia,Asia,23.729089,86.4431996,Approximate,,,,,,,,,,,8.1,0.01,2.9,1.5,0.4,0.2,356
M0595,,India,North Urimari Birsa Coal Mine,Barka Sayal Area,,,https://www.gem.wiki/North_Urimari_Birsa_coal_mine,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India,India,2.8,4.2,2023,,Surface,Open Pit,2.5,140,Exact,828,Estimate,Subbituminous,Thermal,,,,,81,,-,19,1997,,-,,Hazaribagh,,Ramgarh,Jharkhand,Southern Asia,Asia,23.701948,85.293923,Exact,,,,,,,,,,,12,0.01,1.9,1.5,0.7,0.2,356
M0598,,India,Pachhwara (North) Coal Mine,Pachwara,,,https://www.gem.wiki/Pachhwara_(North)_coal_mine,,Operating,,,,West Bengal Power Development Corp Ltd [100%],E100001000512 [100%],,The West Bengal Power Development Corporation,India,7.6,13.7,2023,,Surface,,12.18,50,Estimate,1396,Estimate,Lignite,Thermal,,,,,389,,,28,2019,,29,2023,Rajmahal,Panchwara,Pakur,Jharkhand,Southern Asia,Asia,24.474744,87.476437,Approximate,Coal Plant,Sagardighi Thermal Power Station,https://www.gem.wiki/Sagardighi_Thermal_Power_Station,,,,,,,,16.4,0.01,0.8,1.5,0.9,0.3,356
M0601,,India,Pakri Barwadih Coal Mine,,,,https://www.gem.wiki/Pakri_Barwadih_Mine,,Operating,,,,NTPC Ltd [100%],E100000001926 [100%],,National Thermal Power Corporation,India,8,16.3,2023,,Surface,,46.26,50,Estimate,1689,Estimate,Lignite,Thermal,,,,,642,,-,39,2019,,-,,,Hazaribagh,,Jharkhand,Southern Asia,Asia,23.881918,85.233799,Exact,,,,,,,,,,,19.6,0.01,0.8,1.5,1.1,0.4,356
M0604,,India,Parsa East And Kanta Basan Coal Mine,,,,https://www.gem.wiki/Parsa_East_and_Kanta_Basan_coal_mine,,Operating,,,,Rajasthan Rajya Vidyut Utpadan Nigam Ltd [100%],E100000000526 [100%],,Adani Group,India,7.5,6.7,2023,,Surface,,23.88,30,Exact,2197,Estimate,Lignite,Thermal,,,,,452,2021,516,67,,,19,2021,Korba,"Kete, Parsa",Korba,Chhattisgarh,Southern Asia,Asia,22.83795,82.81401,Exact,Coal Plant,Chhabra Thermal Power Station,https://www.gem.wiki/Chhabra_Thermal_Power_Station,,,,,,,,5,0.00,0.5,1.5,0.3,0.1,356
M0606,,India,Penganga Coal Mine,,,,https://www.gem.wiki/Pengagna_coal_mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India,India,4.5,4.79,2023,,Surface,Open Pit,7.8,50,Estimate,593,Estimate,Subbituminous,Thermal,,,,,12,2022,-,3,2015,,7,,Wardha Valley,Wirur,Chandrapur,Maharashtra,Southern Asia,Asia,19.862222,79.139166,Exact,,,,,,,,,,,5.7,0.00,0.8,1.5,0.3,0.1,356
M0607,,India,Muraidi Phularitand Coal Mine,"Cluster 2, AMP Colliery",,,https://www.gem.wiki/Phularitand_mine,,Operating,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India,India,*,2,2023,,Surface,Open Pit,-,50,Estimate,664,Estimate,Subbituminous,Thermal,,,,,53,,-,27,,,-,,Jharia,,Dhanbad,Jharkhand,Southern Asia,Asia,23.781738,86.227241,Exact,,,,,,,,,,,2.4,0.00,0.8,1.5,0.1,0,356
M0611,,India,Purnadih Coal Mine,,,,https://www.gem.wiki/North_Karanpura_coal_mines,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India,India,2.14,0.6,2023,,Surface,Open Pit,4.3,50,Estimate,378,Estimate,Subbituminous,Thermal,,,,,58,2019,-,97,2009,,25,,Chatra,,,Jharkhand,Southern Asia,Asia,23.7083,84.9861,Exact,,,,,,,,,,,0.7,0.00,0.8,1.5,0,0,356
M0617,,India,Rajmahal Coal Mine,,,,https://www.gem.wiki/Rajmahal_coal_mines,,Operating,,,,Eastern Coalfields Ltd [100%],E100001000804 [100%],,Coal India,India,9,12.06,2023,,Surface,Open Pit,19.78,200,Exact,2963,Exact,Subbituminous,Thermal,,,,,186,2023,,15,1988,,9,2023,,,Godda,Jharkhand,Southern Asia,Asia,25.038,87.3538,Exact,,,,,,,,,,,45.2,0.03,2.5,1.5,2.5,0.9,356
M0618,,India,Ramagundam I Coal Mine,,,,https://www.gem.wiki/Ramagundam_I_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,4,3.69,2023,,Surface,Open Pit,9.23,50,Estimate,489,Estimate,Subbituminous,Thermal,,,,,1,2022,68,0,1974,,-,,Peddapalli,,,Telangana,Southern Asia,Asia,18.666357,79.539274,Exact,,,,,,,,,,,4.4,0.00,0.8,1.5,0.2,0.1,356
M0619,,India,Ramagundam II Coal Mine,,,,https://www.gem.wiki/Ramagundam_II_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,3,2.22,2023,,Surface,Open Pit,22.56,250,Exact,1113,Estimate,Subbituminous,Thermal,,,,,78,2023,116,35,2010,,-,,Peddapalli,,,Telangana,Southern Asia,Asia,18.6782,79.5406,Approximate,,,,,,,,,,,9.7,0.01,2.9,1.5,0.5,0.2,356
M0620,,India,Ramagundam III Coal Mine,RG-2 Area,,,https://www.gem.wiki/Ramagundam_III_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,Government of Telengana [51%]; Government of India [49%],India,5.7,8.16,2023,,Surface,Open Pit,20.7,170,Exact,2228,Exact,Subbituminous,Thermal,,,,,60,2024,224,7,1990,,-,,Peddapalli,,,Telangana,Southern Asia,Asia,18.6976,79.5352,Exact,,,,,,,,,,,26.9,0.02,2.2,1.5,1.5,0.5,356
M0622,,India,Religara Coal Mine,Argada area,,,https://www.gem.wiki/Argada_coal_mines,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India,India,0.589,0.5,2022,,Surface,Open Pit,-,50,Estimate,311,Estimate,Subbituminous,Thermal,,,,,4,,-,8,1993,,-,,Hazaribagh,,,Jharkhand,Southern Asia,Asia,23.8617,85.5569,Exact,,,,,,,,,,,0.6,0.00,0.8,1.5,0,0,356
M0623,,India,Rohini Coal Mine,North Karanpura Area,,,https://www.gem.wiki/North_Karanpura_coal_mines,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India,India,2.6,0.03,2023,,Surface,Open Pit,-,65,Exact,336,Estimate,Subbituminous,Thermal,,,,,12,,-,400,,,-,,North Karanpura,,Ranchi,Jharkhand,Southern Asia,Asia,23.685074,84.989074,Exact,,,,,,,,,,,0,0.00,1,1.5,0,0,356
M0624,,India,Rohini Karkatta Coal Mine,North Karanpura Area,,,https://www.gem.wiki/North_Karanpura_coal_mines,,Operating,,New,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India,India,5.8,0.31,2022,,Surface,,-,50,Estimate,373,Estimate,Lignite,Thermal,,,,,-,,-,-,2024,,-,,North Karanpura,,,Jharkhand,Southern Asia,Asia,23.685074,84.989074,Approximate,,,,,,,,,,,0.4,0.00,0.8,1.5,0,0,356
M0626,,India,Samleswari Coal Mine,Samaleswari,,,https://www.gem.wiki/Ib_Valley_coal_mines,,Operating,,,,Mahanadi Coalfields Ltd [100%],E100001000807 [100%],,Coal India,India,7.5,7.73,2023,,Surface,Open Pit,13.35,50,Estimate,977,Estimate,Lignite,Thermal,,,,,110,2022,180,14,1989,,10,,Ib Valley,,Sundergarh,Odisha,Southern Asia,Asia,21.805789,83.903847,Exact,,,,,,,,,,,9.3,0.01,0.8,1.5,0.5,0.2,356
M0628,,India,Sarisatolli Coal Mine,Sarshatalli,,,https://www.gem.wiki/Sarisatolli_coal_mine,,Operating,,,,RPSG Group [100%],E100001000736 [100%],,RPSG Group,India,2.7,1.29,2023,,Surface,Open Pit,6.7,50,Estimate,557,Estimate,Subbituminous,Thermal,,,,,63,,172,49,,,-,,Raniganj,Churulia,Burdwan,West Bengal,Southern Asia,Asia,23.799677,87.045467,Exact,Coal Plant,Balagarh power station,https://www.gem.wiki/Balagarh_power_station,,,,,,,,1.5,0.00,0.8,1.5,0.1,0,356
M0629,,India,Sasti OC Coal Mine,,,,https://www.gem.wiki/Sasti_Expansion_OC_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India,India,1.9,1.89,2023,,Surface,Open Pit,9.19,50,Estimate,462,Estimate,Subbituminous,Thermal,,,,,25,,117,13,1985,,-,,Wardha Valley,Rajura,Chandrapur,Maharashtra,Southern Asia,Asia,19.81311025,79.3183321,Exact,,,,,,,,,,,2.3,0.00,0.8,1.5,0.1,0,356
